complaint_id,source,date_received,product,raw_text,cleaned_text,primary_category,original_issue
cfpb_100000,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"An unauthorized wire transfer of $14,246 was initiated from my checking account at PayPal. The funds were transferred overseas via an online crypto broker. The bank refused to reimburse me, claiming my credentials were used.","An unauthorized wire transfer of $14,246 was initiated from my checking account at PayPal. The funds were transferred overseas via an online crypto broker. The bank refused to reimburse me, claiming my credentials were used.",financial_cyber_fraud,Financial Cyber Fraud
cfpb_100001,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"An unauthorized wire transfer of $991 was initiated from my checking account at Citibank. The funds were transferred overseas via an online crypto broker. The bank refused to reimburse me, claiming my credentials were used.","An unauthorized wire transfer of $991 was initiated from my checking account at Citibank. The funds were transferred overseas via an online crypto broker. The bank refused to reimburse me, claiming my credentials were used.",financial_cyber_fraud,Financial Cyber Fraud
cfpb_100002,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"A fraudulent credit card was issued in my name. The perpetrator used my date of birth and forged my signature. The bank claims I owe $9,834 for charges I never made. I have filed an FTC identity theft report.","A fraudulent credit card was issued in my name. The perpetrator used my date of birth and forged my signature. The bank claims I owe $9,834 for charges I never made. I have filed an FTC identity theft report.",identity_theft_impersonation,Identity Theft Impersonation
cfpb_100003,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"I received a fraudulent email from a spoofed address claiming I had an overdue invoice. The link in the email prompted me to enter my banking password, which resulted in fraudulent charges.","I received a fraudulent email from a spoofed address claiming I had an overdue invoice. The link in the email prompted me to enter my banking password, which resulted in fraudulent charges.",phishing_social_engineering,Phishing Social Engineering
cfpb_100004,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"I received a fraudulent email from a spoofed address claiming I had an overdue invoice. The link in the email prompted me to enter my banking password, which resulted in fraudulent charges.","I received a fraudulent email from a spoofed address claiming I had an overdue invoice. The link in the email prompted me to enter my banking password, which resulted in fraudulent charges.",phishing_social_engineering,Phishing Social Engineering
cfpb_100005,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"I received a fraudulent email from a spoofed address claiming I had an overdue invoice. The link in the email prompted me to enter my banking password, which resulted in fraudulent charges.","I received a fraudulent email from a spoofed address claiming I had an overdue invoice. The link in the email prompted me to enter my banking password, which resulted in fraudulent charges.",phishing_social_engineering,Phishing Social Engineering
cfpb_100006,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"I received a fraudulent email from a spoofed address claiming I had an overdue invoice. The link in the email prompted me to enter my banking password, which resulted in fraudulent charges.","I received a fraudulent email from a spoofed address claiming I had an overdue invoice. The link in the email prompted me to enter my banking password, which resulted in fraudulent charges.",phishing_social_engineering,Phishing Social Engineering
cfpb_100007,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"A pop-up alert appeared on my computer claiming a critical security virus and instructed me to call customer support. The fake tech support agent gained remote access to my computer and transferred $4,808 from my savings.","A pop-up alert appeared on my computer claiming a critical security virus and instructed me to call customer support. The fake tech support agent gained remote access to my computer and transferred $4,808 from my savings.",phishing_social_engineering,Phishing Social Engineering
cfpb_100008,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"I was targeted by an online investment portal promising guaranteed returns on Bitcoin. After depositing $5,424, my account was locked, and the customer service disappeared. This is an organized online investment fraud.","I was targeted by an online investment portal promising guaranteed returns on Bitcoin. After depositing $5,424, my account was locked, and the customer service disappeared. This is an organized online investment fraud.",financial_cyber_fraud,Financial Cyber Fraud
cfpb_100009,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"A pop-up alert appeared on my computer claiming a critical security virus and instructed me to call customer support. The fake tech support agent gained remote access to my computer and transferred $3,234 from my savings.","A pop-up alert appeared on my computer claiming a critical security virus and instructed me to call customer support. The fake tech support agent gained remote access to my computer and transferred $3,234 from my savings.",phishing_social_engineering,Phishing Social Engineering
cfpb_100010,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"A pop-up alert appeared on my computer claiming a critical security virus and instructed me to call customer support. The fake tech support agent gained remote access to my computer and transferred $11,749 from my savings.","A pop-up alert appeared on my computer claiming a critical security virus and instructed me to call customer support. The fake tech support agent gained remote access to my computer and transferred $11,749 from my savings.",phishing_social_engineering,Phishing Social Engineering
cfpb_100011,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"I was targeted by an online investment portal promising guaranteed returns on Bitcoin. After depositing $1,796, my account was locked, and the customer service disappeared. This is an organized online investment fraud.","I was targeted by an online investment portal promising guaranteed returns on Bitcoin. After depositing $1,796, my account was locked, and the customer service disappeared. This is an organized online investment fraud.",financial_cyber_fraud,Financial Cyber Fraud
