complaint_id,source,date_received,product,raw_text,cleaned_text,primary_category,original_issue
cyberguard_300000,cyberguard,2024-05-02,Police / CERT Incident Report,"Complainant reported that an unknown perpetrator impersonated them using their personal credentials to lease equipment and open utility accounts totaling $22,332.","Complainant reported that an unknown perpetrator impersonated them using their personal credentials to lease equipment and open utility accounts totaling $22,332.",identity_theft_impersonation,Identity Theft Impersonation
cyberguard_300001,cyberguard,2024-05-02,Police / CERT Incident Report,"Complainant was deceived in an online transaction. They transferred $10,608 via Chime for an item listed on Instagram, after which the seller deleted their profile.","Complainant was deceived in an online transaction. They transferred $10,608 via Chime for an item listed on Instagram, after which the seller deleted their profile.",financial_cyber_fraud,Financial Cyber Fraud
cyberguard_300002,cyberguard,2024-05-02,Police / CERT Incident Report,"A business owner filed a report stating that an extortion group encrypted their client database, demanding $34,381 in Monero to restore access.","A business owner filed a report stating that an extortion group encrypted their client database, demanding $34,381 in Monero to restore access.",ransomware_extortion,Ransomware Extortion
cyberguard_300003,cyberguard,2024-05-02,Police / CERT Incident Report,"A business owner filed a report stating that an extortion group encrypted their client database, demanding $59,317 in Tether (USDT) to restore access.","A business owner filed a report stating that an extortion group encrypted their client database, demanding $59,317 in Tether (USDT) to restore access.",ransomware_extortion,Ransomware Extortion
cyberguard_300004,cyberguard,2024-05-02,Police / CERT Incident Report,"Complainant reported digital extortion where an attacker threatened to release private personal photographs unless $9,489 in Ethereum was paid within 24 hours.","Complainant reported digital extortion where an attacker threatened to release private personal photographs unless $9,489 in Ethereum was paid within 24 hours.",ransomware_extortion,Ransomware Extortion
cyberguard_300005,cyberguard,2024-05-02,Police / CERT Incident Report,"A business owner filed a report stating that an extortion group encrypted their client database, demanding $45,418 in Bitcoin to restore access.","A business owner filed a report stating that an extortion group encrypted their client database, demanding $45,418 in Bitcoin to restore access.",ransomware_extortion,Ransomware Extortion
cyberguard_300006,cyberguard,2024-05-02,Police / CERT Incident Report,"Complainant reported identity theft. Fraudsters acquired the victim's social security number and driver's license from an online leak and fraudulently claimed $77,933 in benefits.","Complainant reported identity theft. Fraudsters acquired the victim's social security number and driver's license from an online leak and fraudulently claimed $77,933 in benefits.",identity_theft_impersonation,Identity Theft Impersonation
cyberguard_300007,cyberguard,2024-05-02,Police / CERT Incident Report,"Victim received an urgent smishing SMS claiming an undelivered parcel from postal services, providing a spoofed link that compromised their debit card details.","Victim received an urgent smishing SMS claiming an undelivered parcel from postal services, providing a spoofed link that compromised their debit card details.",phishing_social_engineering,Phishing Social Engineering
cyberguard_300008,cyberguard,2024-05-02,Police / CERT Incident Report,"A business owner filed a report stating that an extortion group encrypted their client database, demanding $54,554 in Monero to restore access.","A business owner filed a report stating that an extortion group encrypted their client database, demanding $54,554 in Monero to restore access.",ransomware_extortion,Ransomware Extortion
cyberguard_300009,cyberguard,2024-05-02,Police / CERT Incident Report,"Complainant reported identity theft. Fraudsters acquired the victim's social security number and driver's license from an online leak and fraudulently claimed $28,349 in benefits.","Complainant reported identity theft. Fraudsters acquired the victim's social security number and driver's license from an online leak and fraudulently claimed $28,349 in benefits.",identity_theft_impersonation,Identity Theft Impersonation
cyberguard_300010,cyberguard,2024-05-02,Police / CERT Incident Report,"Citizen reported an online crypto investment fraud. An unknown party contacted them via Tinder promoting a trading platform. Victim transferred $53,304 in Solana before being locked out.","Citizen reported an online crypto investment fraud. An unknown party contacted them via Tinder promoting a trading platform. Victim transferred $53,304 in Solana before being locked out.",financial_cyber_fraud,Financial Cyber Fraud
cyberguard_300011,cyberguard,2024-05-02,Police / CERT Incident Report,"Victim received an urgent smishing SMS claiming an undelivered parcel from postal services, providing a spoofed link that compromised their debit card details.","Victim received an urgent smishing SMS claiming an undelivered parcel from postal services, providing a spoofed link that compromised their debit card details.",phishing_social_engineering,Phishing Social Engineering
cyberguard_300012,cyberguard,2024-05-02,Police / CERT Incident Report,"An impersonation call from someone claiming to be technical support at JPMorgan Chase directed the victim to install remote access tools, compromising $31,507.","An impersonation call from someone claiming to be technical support at JPMorgan Chase directed the victim to install remote access tools, compromising $31,507.",phishing_social_engineering,Phishing Social Engineering
cyberguard_300013,cyberguard,2024-05-02,Police / CERT Incident Report,"A business owner filed a report stating that an extortion group encrypted their client database, demanding $22,486 in Ethereum to restore access.","A business owner filed a report stating that an extortion group encrypted their client database, demanding $22,486 in Ethereum to restore access.",ransomware_extortion,Ransomware Extortion
cyberguard_300014,cyberguard,2024-05-02,Police / CERT Incident Report,"Complainant reported digital extortion where an attacker threatened to release private personal photographs unless $74,046 in Solana was paid within 24 hours.","Complainant reported digital extortion where an attacker threatened to release private personal photographs unless $74,046 in Solana was paid within 24 hours.",ransomware_extortion,Ransomware Extortion
cyberguard_300015,cyberguard,2024-05-02,Police / CERT Incident Report,"Complainant reported that an unknown perpetrator impersonated them using their personal credentials to lease equipment and open utility accounts totaling $35,739.","Complainant reported that an unknown perpetrator impersonated them using their personal credentials to lease equipment and open utility accounts totaling $35,739.",identity_theft_impersonation,Identity Theft Impersonation
cyberguard_300016,cyberguard,2024-05-02,Police / CERT Incident Report,"A commercial logistics agency reported a malware attack that locked critical shipment dispatch schedules, leaving a ransom note demanding Ethereum.","A commercial logistics agency reported a malware attack that locked critical shipment dispatch schedules, leaving a ransom note demanding Ethereum.",ransomware_extortion,Ransomware Extortion
cyberguard_300017,cyberguard,2024-05-02,Police / CERT Incident Report,"Complainant was deceived in an online transaction. They transferred $9,302 via Revolut for an item listed on Facebook Marketplace, after which the seller deleted their profile.","Complainant was deceived in an online transaction. They transferred $9,302 via Revolut for an item listed on Facebook Marketplace, after which the seller deleted their profile.",financial_cyber_fraud,Financial Cyber Fraud
