police_report_number,jurisdiction,incident_summary,reported_offense,loss_amount_usd
PR-STA-2024-1000,Star City Cyber Crime Unit,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",Ransomware Hostage,77124
PR-GOT-2024-1001,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,9984
PR-STA-2024-1002,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,29369
PR-MET-2024-1003,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@metropolispolice.gov.,Social Media Account Hijack,84231
PR-GOT-2024-1004,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,77395
PR-STA-2024-1005,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,56588
PR-STA-2024-1006,Star City Cyber Crime Unit,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,DDoS Attack on School Portal,22553
PR-CEN-2024-1007,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,86452
PR-STA-2024-1008,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,14602
PR-STA-2024-1009,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,69264
PR-RIV-2024-1010,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,38594
PR-GOT-2024-1011,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,20980
PR-MET-2024-1012,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,53322
PR-CEN-2024-1013,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,19951
PR-GOT-2024-1014,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,77046
PR-RIV-2024-1015,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,91164
PR-MET-2024-1016,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@metropolispolice.gov.,Social Media Account Hijack,78422
PR-GOT-2024-1017,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,18377
PR-MET-2024-1018,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,14626
PR-MET-2024-1019,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,67829
PR-CEN-2024-1020,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,76244
PR-MET-2024-1021,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,67641
PR-MET-2024-1022,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@metropolispolice.gov.",Corporate Email Compromise,22205
PR-CEN-2024-1023,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,3569
PR-GOT-2024-1024,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,34838
