complaint_id,source,date_received,product,raw_text,cleaned_text,primary_category,original_issue
eurepoc_201202,eurepoc,2024-04-10,Technical Cyber Threat Incident,"Adversaries conducted destructive wiper malware and multi-vector Layer 7 DDoS attacks against a public port logistics hub. Web applications crashed under 69 million requests per second, knocking public services offline.","Adversaries conducted destructive wiper malware and multi-vector Layer 7 DDoS attacks against a public port logistics hub. Web applications crashed under 69 million requests per second, knocking public services offline.",denial_of_service_disruption,Denial Of Service Disruption
cyberguard_301071,cyberguard,2024-05-02,Police / CERT Incident Report,"Complainant reported digital extortion where an attacker threatened to release private personal photographs unless $57,644 in Monero was paid within 24 hours.","Complainant reported digital extortion where an attacker threatened to release private personal photographs unless $57,644 in Monero was paid within 24 hours.",ransomware_extortion,Ransomware Extortion
eurepoc_201030,eurepoc,2024-04-10,Technical Cyber Threat Incident,"Adversaries conducted destructive wiper malware and multi-vector Layer 7 DDoS attacks against a national railway operator. Web applications crashed under 39 million requests per second, knocking public services offline.","Adversaries conducted destructive wiper malware and multi-vector Layer 7 DDoS attacks against a national railway operator. Web applications crashed under 39 million requests per second, knocking public services offline.",denial_of_service_disruption,Denial Of Service Disruption
eurepoc_200203,eurepoc,2024-04-10,Technical Cyber Threat Incident,"Adversaries gained unauthorized system access to a telecommunications provider by exploiting CVE-2023-2868. The intrusion compromised 66,000 user credentials, establishing persistent reverse shells across the internal DMZ.","Adversaries gained unauthorized system access to a telecommunications provider by exploiting CVE-2023-2868. The intrusion compromised 66,000 user credentials, establishing persistent reverse shells across the internal DMZ.",unauthorized_access_hacking,Unauthorized Access Hacking
cfpb_102933,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"A fraudulent credit card was issued in my name. The perpetrator used my date of birth and forged my signature. The bank claims I owe $1,834 for charges I never made. I have filed an FTC identity theft report.","A fraudulent credit card was issued in my name. The perpetrator used my date of birth and forged my signature. The bank claims I owe $1,834 for charges I never made. I have filed an FTC identity theft report.",identity_theft_impersonation,Identity Theft Impersonation
eurepoc_201476,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A sophisticated double-extortion ransomware campaign orchestrated by Sandworm compromised the internal network of a power grid distributor via compromised credentials. The actors exfiltrated 248GB of proprietary databases before deploying ransomware binaries. A ransom demand of $5,814K in Bitcoin was posted, threatening public leak on darknet forums.","A sophisticated double-extortion ransomware campaign orchestrated by Sandworm compromised the internal network of a power grid distributor via compromised credentials. The actors exfiltrated 248GB of proprietary databases before deploying ransomware binaries. A ransom demand of $5,814K in Bitcoin was posted, threatening public leak on darknet forums.",ransomware_extortion,Ransomware Extortion
eurepoc_200163,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A persistent flood of HTTP/2 Rapid Reset requests disrupted the border gateway and online authentication servers of a municipal water authority, causing complete denial of service for 11 hours.","A persistent flood of HTTP/2 Rapid Reset requests disrupted the border gateway and online authentication servers of a municipal water authority, causing complete denial of service for 11 hours.",denial_of_service_disruption,Denial Of Service Disruption
cfpb_101580,cfpb,2024-03-15,Credit card / Virtual Currency / Wire Transfer,"An unauthorized wire transfer of $10,036 was initiated from my checking account at Capital One. The funds were transferred overseas via an online crypto broker. The bank refused to reimburse me, claiming my credentials were used.","An unauthorized wire transfer of $10,036 was initiated from my checking account at Capital One. The funds were transferred overseas via an online crypto broker. The bank refused to reimburse me, claiming my credentials were used.",financial_cyber_fraud,Financial Cyber Fraud
eurepoc_201241,eurepoc,2024-04-10,Technical Cyber Threat Incident,A spear-phishing campaign attributed to Sandworm targeted executives at a municipal water authority. Weaponized PDF documents referencing fake regulatory audits delivered an infostealer payload harvesting domain credentials.,A spear-phishing campaign attributed to Sandworm targeted executives at a municipal water authority. Weaponized PDF documents referencing fake regulatory audits delivered an infostealer payload harvesting domain credentials.,phishing_social_engineering,Phishing Social Engineering
cyberguard_301029,cyberguard,2024-05-02,Police / CERT Incident Report,"A victim discovered that their identity was forged to register unauthorized accounts with Chime and obtain online loans amounting to $45,175 without consent.","A victim discovered that their identity was forged to register unauthorized accounts with Chime and obtain online loans amounting to $45,175 without consent.",identity_theft_impersonation,Identity Theft Impersonation
