complaint_id,source,date_received,product,raw_text,cleaned_text,primary_category,original_issue
PR-STA-2024-1000,custom_agency,2024-06-01,Institutional Complaint,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.","[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",ransomware_extortion,Ransomware Hostage
PR-GOT-2024-1001,custom_agency,2024-06-01,Institutional Complaint,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.","[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: <EMAIL>.",ransomware_extortion,Ransomware Hostage
PR-STA-2024-1002,custom_agency,2024-06-01,Institutional Complaint,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.","[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",financial_cyber_fraud,Online Crypto Investment Scam
PR-MET-2024-1003,custom_agency,2024-06-01,Institutional Complaint,[Metropolis Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@metropolispolice.gov.,[Metropolis Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: <EMAIL>.,financial_cyber_fraud,Social Media Account Hijack
PR-GOT-2024-1004,custom_agency,2024-06-01,Institutional Complaint,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.","[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: <EMAIL>.",ransomware_extortion,Ransomware Hostage
PR-STA-2024-1005,custom_agency,2024-06-01,Institutional Complaint,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.","[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",phishing_social_engineering,Corporate Email Compromise
PR-STA-2024-1006,custom_agency,2024-06-01,Institutional Complaint,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,denial_of_service_disruption,DDoS Attack on School Portal
PR-CEN-2024-1007,custom_agency,2024-06-01,Institutional Complaint,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.","[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",phishing_social_engineering,Corporate Email Compromise
PR-STA-2024-1008,custom_agency,2024-06-01,Institutional Complaint,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.","[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",financial_cyber_fraud,Online Crypto Investment Scam
PR-STA-2024-1009,custom_agency,2024-06-01,Institutional Complaint,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.","[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",identity_theft_impersonation,Identity Theft / Bank Loan
