complaint_id,source,date_received,product,raw_text,cleaned_text,primary_category,original_issue
eurepoc_200000,eurepoc,2024-04-10,Technical Cyber Threat Incident,A spear-phishing campaign attributed to LockBit 3.0 targeted executives at a commercial banking network. Weaponized PDF documents referencing fake regulatory audits delivered an infostealer payload harvesting domain credentials.,A spear-phishing campaign attributed to LockBit 3.0 targeted executives at a commercial banking network. Weaponized PDF documents referencing fake regulatory audits delivered an infostealer payload harvesting domain credentials.,phishing_social_engineering,Phishing Social Engineering
eurepoc_200001,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A critical ransomware outbreak hit a public port logistics hub. Operators weaponized vulnerability CVE-2023-4966 in perimeter firewalls to establish persistent C2 access. File systems were encrypted and volume shadow copies destroyed. The extortion group demanded $4,725K for decryption tools.","A critical ransomware outbreak hit a public port logistics hub. Operators weaponized vulnerability CVE-2023-4966 in perimeter firewalls to establish persistent C2 access. File systems were encrypted and volume shadow copies destroyed. The extortion group demanded $4,725K for decryption tools.",ransomware_extortion,Ransomware Extortion
eurepoc_200002,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A critical ransomware outbreak hit a pharmaceutical research lab. Operators weaponized vulnerability CVE-2023-2868 in perimeter firewalls to establish persistent C2 access. File systems were encrypted and volume shadow copies destroyed. The extortion group demanded $5,147K for decryption tools.","A critical ransomware outbreak hit a pharmaceutical research lab. Operators weaponized vulnerability CVE-2023-2868 in perimeter firewalls to establish persistent C2 access. File systems were encrypted and volume shadow copies destroyed. The extortion group demanded $5,147K for decryption tools.",ransomware_extortion,Ransomware Extortion
eurepoc_200003,eurepoc,2024-04-10,Technical Cyber Threat Incident,"Attackers distributed phishing lures disguised as urgent software patch advisories to personnel at a public port logistics hub, leading to payload execution and credential compromise.","Attackers distributed phishing lures disguised as urgent software patch advisories to personnel at a public port logistics hub, leading to payload execution and credential compromise.",phishing_social_engineering,Phishing Social Engineering
eurepoc_200004,eurepoc,2024-04-10,Technical Cyber Threat Incident,"Adversaries conducted destructive wiper malware and multi-vector Layer 7 DDoS attacks against a regional healthcare facility. Web applications crashed under 28 million requests per second, knocking public services offline.","Adversaries conducted destructive wiper malware and multi-vector Layer 7 DDoS attacks against a regional healthcare facility. Web applications crashed under 28 million requests per second, knocking public services offline.",denial_of_service_disruption,Denial Of Service Disruption
eurepoc_200005,eurepoc,2024-04-10,Technical Cyber Threat Incident,"Threat group Sandworm launched an extortion attack against a power grid distributor. All virtual hypervisors and backup domains were encrypted. Negotiations demanded $7,269K within 48 hours to halt the auction of exfiltrated administrative files.","Threat group Sandworm launched an extortion attack against a power grid distributor. All virtual hypervisors and backup domains were encrypted. Negotiations demanded $7,269K within 48 hours to halt the auction of exfiltrated administrative files.",ransomware_extortion,Ransomware Extortion
eurepoc_200006,eurepoc,2024-04-10,Technical Cyber Threat Incident,"Adversaries conducted destructive wiper malware and multi-vector Layer 7 DDoS attacks against a pharmaceutical research lab. Web applications crashed under 20 million requests per second, knocking public services offline.","Adversaries conducted destructive wiper malware and multi-vector Layer 7 DDoS attacks against a pharmaceutical research lab. Web applications crashed under 20 million requests per second, knocking public services offline.",denial_of_service_disruption,Denial Of Service Disruption
eurepoc_200007,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A critical ransomware outbreak hit a government tax agency. Operators weaponized vulnerability CVE-2023-4966 in perimeter firewalls to establish persistent C2 access. File systems were encrypted and volume shadow copies destroyed. The extortion group demanded $6,551K for decryption tools.","A critical ransomware outbreak hit a government tax agency. Operators weaponized vulnerability CVE-2023-4966 in perimeter firewalls to establish persistent C2 access. File systems were encrypted and volume shadow copies destroyed. The extortion group demanded $6,551K for decryption tools.",ransomware_extortion,Ransomware Extortion
eurepoc_200008,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A sophisticated double-extortion ransomware campaign orchestrated by Akira compromised the internal network of a commercial banking network via compromised credentials. The actors exfiltrated 654GB of proprietary databases before deploying ransomware binaries. A ransom demand of $6,717K in Bitcoin was posted, threatening public leak on darknet forums.","A sophisticated double-extortion ransomware campaign orchestrated by Akira compromised the internal network of a commercial banking network via compromised credentials. The actors exfiltrated 654GB of proprietary databases before deploying ransomware binaries. A ransom demand of $6,717K in Bitcoin was posted, threatening public leak on darknet forums.",ransomware_extortion,Ransomware Extortion
eurepoc_200009,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A critical ransomware outbreak hit a government tax agency. Operators weaponized vulnerability CVE-2024-1709 in perimeter firewalls to establish persistent C2 access. File systems were encrypted and volume shadow copies destroyed. The extortion group demanded $4,082K for decryption tools.","A critical ransomware outbreak hit a government tax agency. Operators weaponized vulnerability CVE-2024-1709 in perimeter firewalls to establish persistent C2 access. File systems were encrypted and volume shadow copies destroyed. The extortion group demanded $4,082K for decryption tools.",ransomware_extortion,Ransomware Extortion
eurepoc_200010,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A persistent flood of HTTP/2 Rapid Reset requests disrupted the border gateway and online authentication servers of a regional healthcare facility, causing complete denial of service for 67 hours.","A persistent flood of HTTP/2 Rapid Reset requests disrupted the border gateway and online authentication servers of a regional healthcare facility, causing complete denial of service for 67 hours.",denial_of_service_disruption,Denial Of Service Disruption
eurepoc_200011,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A massive volumetric Distributed Denial of Service (DDoS) attack peaking at 3.17 Tbps targeted a public port logistics hub. The attack exploited an amplified DNS/UDP reflection vector through a global IoT botnet, resulting in 23 hours of total service outage.","A massive volumetric Distributed Denial of Service (DDoS) attack peaking at 3.17 Tbps targeted a public port logistics hub. The attack exploited an amplified DNS/UDP reflection vector through a global IoT botnet, resulting in 23 hours of total service outage.",denial_of_service_disruption,Denial Of Service Disruption
eurepoc_200012,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A sophisticated double-extortion ransomware campaign orchestrated by APT28 (Fancy Bear) compromised the internal network of a public port logistics hub via compromised credentials. The actors exfiltrated 626GB of proprietary databases before deploying ransomware binaries. A ransom demand of $3,203K in Bitcoin was posted, threatening public leak on darknet forums.","A sophisticated double-extortion ransomware campaign orchestrated by APT28 (Fancy Bear) compromised the internal network of a public port logistics hub via compromised credentials. The actors exfiltrated 626GB of proprietary databases before deploying ransomware binaries. A ransom demand of $3,203K in Bitcoin was posted, threatening public leak on darknet forums.",ransomware_extortion,Ransomware Extortion
eurepoc_200013,eurepoc,2024-04-10,Technical Cyber Threat Incident,"A massive volumetric Distributed Denial of Service (DDoS) attack peaking at 2.47 Tbps targeted a commercial banking network. The attack exploited an amplified DNS/UDP reflection vector through a global IoT botnet, resulting in 9 hours of total service outage.","A massive volumetric Distributed Denial of Service (DDoS) attack peaking at 2.47 Tbps targeted a commercial banking network. The attack exploited an amplified DNS/UDP reflection vector through a global IoT botnet, resulting in 9 hours of total service outage.",denial_of_service_disruption,Denial Of Service Disruption
